0/casedecisions,0/caseid,0/caseno,0/caseproceedings/0/arb_history,0/caseproceedings/0/arbitrators,0/caseproceedings/0/claimant,0/caseproceedings/0/claimanthdr,0/caseproceedings/0/clmnt_nationality,0/caseproceedings/0/compoftribunalhdr,0/caseproceedings/0/dateconstituted,0/caseproceedings/0/datecreated,0/caseproceedings/0/dateofconsthdr,0/caseproceedings/0/datepublished,0/caseproceedings/0/daterange,0/caseproceedings/0/dateregistered,0/caseproceedings/0/development,0/caseproceedings/0/isapproved,0/caseproceedings/0/language,0/caseproceedings/0/lastproc,0/caseproceedings/0/president,0/caseproceedings/0/proceedingid,0/caseproceedings/0/prsdnt_history,0/caseproceedings/0/prtyisapproved,0/caseproceedings/0/reconstituted,0/caseproceedings/0/remarks,0/caseproceedings/0/resp_nationality,0/caseproceedings/0/respondent,0/caseproceedings/0/sequenceno,0/caseproceedings/0/status,0/caseproceedings/0/title,0/caseproceedings/0/trbisapproved,0/caseproceedings/0/trbnlid,0/casetitle,0/casetype,0/claimant,0/econsector,0/instrumentinvk1,0/instrumentinvk2,0/isapproved,0/partiessub,0/respondent,0/rulesapplied,0/seatarbitration,0/status,0/subject,0/caseproceedings/1/arb_history,0/caseproceedings/1/arbitrators,0/caseproceedings/1/claimant,0/caseproceedings/1/claimanthdr,0/caseproceedings/1/clmnt_nationality,0/caseproceedings/1/compoftribunalhdr,0/caseproceedings/1/dateconstituted,0/caseproceedings/1/datecreated,0/caseproceedings/1/dateofconsthdr,0/caseproceedings/1/datepublished,0/caseproceedings/1/daterange,0/caseproceedings/1/dateregistered,0/caseproceedings/1/development,0/caseproceedings/1/isapproved,0/caseproceedings/1/language,0/caseproceedings/1/lastproc,0/caseproceedings/1/president,0/caseproceedings/1/proceedingid,0/caseproceedings/1/prsdnt_history,0/caseproceedings/1/prtyisapproved,0/caseproceedings/1/reconstituted,0/caseproceedings/1/remarks,0/caseproceedings/1/resp_nationality,0/caseproceedings/1/respondent,0/caseproceedings/1/sequenceno,0/caseproceedings/1/status,0/caseproceedings/1/title,0/caseproceedings/1/trbisapproved,0/caseproceedings/1/trbnlid,0/caseproceedings/2/arb_history,0/caseproceedings/2/arbitrators,0/caseproceedings/2/claimant,0/caseproceedings/2/claimanthdr,0/caseproceedings/2/clmnt_nationality,0/caseproceedings/2/compoftribunalhdr,0/caseproceedings/2/dateconstituted,0/caseproceedings/2/datecreated,0/caseproceedings/2/dateofconsthdr,0/caseproceedings/2/datepublished,0/caseproceedings/2/daterange,0/caseproceedings/2/dateregistered,0/caseproceedings/2/development,0/caseproceedings/2/isapproved,0/caseproceedings/2/language,0/caseproceedings/2/lastproc,0/caseproceedings/2/president,0/caseproceedings/2/proceedingid,0/caseproceedings/2/prsdnt_history,0/caseproceedings/2/prtyisapproved,0/caseproceedings/2/reconstituted,0/caseproceedings/2/remarks,0/caseproceedings/2/resp_nationality,0/caseproceedings/2/respondent,0/caseproceedings/2/sequenceno,0/caseproceedings/2/status,0/caseproceedings/2/title,0/caseproceedings/2/trbisapproved,0/caseproceedings/2/trbnlid,0/caseproceedings/3/arb_history,0/caseproceedings/3/arbitrators,0/caseproceedings/3/claimant,0/caseproceedings/3/claimanthdr,0/caseproceedings/3/clmnt_nationality,0/caseproceedings/3/compoftribunalhdr,0/caseproceedings/3/dateconstituted,0/caseproceedings/3/datecreated,0/caseproceedings/3/dateofconsthdr,0/caseproceedings/3/datepublished,0/caseproceedings/3/daterange,0/caseproceedings/3/dateregistered,0/caseproceedings/3/development,0/caseproceedings/3/isapproved,0/caseproceedings/3/language,0/caseproceedings/3/lastproc,0/caseproceedings/3/president,0/caseproceedings/3/proceedingid,0/caseproceedings/3/prsdnt_history,0/caseproceedings/3/prtyisapproved,0/caseproceedings/3/reconstituted,0/caseproceedings/3/remarks,0/caseproceedings/3/resp_nationality,0/caseproceedings/3/respondent,0/caseproceedings/3/sequenceno,0/caseproceedings/3/status,0/caseproceedings/3/title,0/caseproceedings/3/trbisapproved,0/caseproceedings/3/trbnlid,0/caseproceedings/4/arb_history,0/caseproceedings/4/arbitrators,0/caseproceedings/4/claimant,0/caseproceedings/4/claimanthdr,0/caseproceedings/4/clmnt_nationality,0/caseproceedings/4/compoftribunalhdr,0/caseproceedings/4/dateconstituted,0/caseproceedings/4/datecreated,0/caseproceedings/4/dateofconsthdr,0/caseproceedings/4/datepublished,0/caseproceedings/4/daterange,0/caseproceedings/4/dateregistered,0/caseproceedings/4/development,0/caseproceedings/4/isapproved,0/caseproceedings/4/language,0/caseproceedings/4/lastproc,0/caseproceedings/4/president,0/caseproceedings/4/proceedingid,0/caseproceedings/4/prsdnt_history,0/caseproceedings/4/prtyisapproved,0/caseproceedings/4/reconstituted,0/caseproceedings/4/remarks,0/caseproceedings/4/resp_nationality,0/caseproceedings/4/respondent,0/caseproceedings/4/sequenceno,0/caseproceedings/4/status,0/caseproceedings/4/title,0/caseproceedings/4/trbisapproved,0/caseproceedings/4/trbnlid,0/caseproceedings/5/arb_history,0/caseproceedings/5/arbitrators,0/caseproceedings/5/claimant,0/caseproceedings/5/claimanthdr,0/caseproceedings/5/clmnt_nationality,0/caseproceedings/5/compoftribunalhdr,0/caseproceedings/5/dateconstituted,0/caseproceedings/5/datecreated,0/caseproceedings/5/dateofconsthdr,0/caseproceedings/5/datepublished,0/caseproceedings/5/daterange,0/caseproceedings/5/dateregistered,0/caseproceedings/5/development,0/caseproceedings/5/isapproved,0/caseproceedings/5/language,0/caseproceedings/5/lastproc,0/caseproceedings/5/president,0/caseproceedings/5/proceedingid,0/caseproceedings/5/prsdnt_history,0/caseproceedings/5/prtyisapproved,0/caseproceedings/5/reconstituted,0/caseproceedings/5/remarks,0/caseproceedings/5/resp_nationality,0/caseproceedings/5/respondent,0/caseproceedings/5/sequenceno,0/caseproceedings/5/status,0/caseproceedings/5/title,0/caseproceedings/5/trbisapproved,0/caseproceedings/5/trbnlid,0/caseproceedings/6/arb_history,0/caseproceedings/6/arbitrators,0/caseproceedings/6/claimant,0/caseproceedings/6/claimanthdr,0/caseproceedings/6/clmnt_nationality,0/caseproceedings/6/compoftribunalhdr,0/caseproceedings/6/dateconstituted,0/caseproceedings/6/datecreated,0/caseproceedings/6/dateofconsthdr,0/caseproceedings/6/datepublished,0/caseproceedings/6/daterange,0/caseproceedings/6/dateregistered,0/caseproceedings/6/development,0/caseproceedings/6/isapproved,0/caseproceedings/6/language,0/caseproceedings/6/lastproc,0/caseproceedings/6/president,0/caseproceedings/6/proceedingid,0/caseproceedings/6/prsdnt_history,0/caseproceedings/6/prtyisapproved,0/caseproceedings/6/reconstituted,0/caseproceedings/6/remarks,0/caseproceedings/6/resp_nationality,0/caseproceedings/6/respondent,0/caseproceedings/6/sequenceno,0/caseproceedings/6/status,0/caseproceedings/6/title,0/caseproceedings/6/trbisapproved,0/caseproceedings/6/trbnlid,0/caseproceedings/7/arb_history,0/caseproceedings/7/arbitrators,0/caseproceedings/7/claimant,0/caseproceedings/7/claimanthdr,0/caseproceedings/7/clmnt_nationality,0/caseproceedings/7/compoftribunalhdr,0/caseproceedings/7/dateconstituted,0/caseproceedings/7/datecreated,0/caseproceedings/7/dateofconsthdr,0/caseproceedings/7/datepublished,0/caseproceedings/7/daterange,0/caseproceedings/7/dateregistered,0/caseproceedings/7/development,0/caseproceedings/7/isapproved,0/caseproceedings/7/language,0/caseproceedings/7/lastproc,0/caseproceedings/7/president,0/caseproceedings/7/proceedingid,0/caseproceedings/7/prsdnt_history,0/caseproceedings/7/prtyisapproved,0/caseproceedings/7/reconstituted,0/caseproceedings/7/remarks,0/caseproceedings/7/resp_nationality,0/caseproceedings/7/respondent,0/caseproceedings/7/sequenceno,0/caseproceedings/7/status,0/caseproceedings/7/title,0/caseproceedings/7/trbisapproved,0/caseproceedings/7/trbnlid
,C6387,,,<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=113' target=_blank>Charles PONCET</a>  (Swiss)  - Appointed by the Claimant(s)<br><a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=524' target=_blank>Pierre-Marie DUPUY</a>  (French)  - Appointed by the Respondent(s),"King & Spalding, London, U.K. and New York, NY, U.S.A.",Claimant(s)/Nationality(ies):,"Rockhopper Mediterranean Ltd (British), Rockhopper Exploration Plc (British), Rockhopper Italia S.p.A. (Italian)",Composition of Tribunal,"September 26, 2017",,Date of Constitution of Tribunal:,,,"May 19, 2017",,Y,English,"December 18, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Tribunal issues Procedural Order No. 5 concerning the non-disputing party&rsquo;s request of December 14, 2018.</span>","<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=825' target=_blank>Klaus REICHERT</a>  (German, Irish)  - Appointed by Co-Arbitrators",PR7977,,Y,,,Italian Republic (Italian),"Avvocatura Generale dello Stato, Rome, Italy",,Pending,Original Proceeding,Y,TR8531,"Rockhopper Italia S.p.A., Rockhopper Mediterranean Ltd, and Rockhopper Exploration Plc v. Italian Republic (ICSID Case No. ARB/17/14)",,,"Oil, Gas & Mining",,,Y,,,ICSID Convention - Arbitration Rules,,CD27,Oil and gas exploration and production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6247,,,<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=582' target=_blank>Stanimir A. ALEXANDROV</a>  (Bulgarian)  - Appointed by the Claimant(s)<br><a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=659' target=_blank>Zachary DOUGLAS</a>  (Australian)  - Appointed by the Respondent(s),"De Berti Jacchia Franchini Forlani, Milan, Italy<br>Dechert, Paris, France",Claimant(s)/Nationality(ies):,"Obrascón Huarte Lain S.A. (Spanish), Rizzani de Eccher S.p.A. (Italian), Trevi S.p.A. (Italian)",Composition of Tribunal,"August 11, 2017",,Date of Constitution of Tribunal:,,,"March 3, 2017",,Y,,"May 11, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Tribunal issues Procedural Order No. 2 concerning the Respondent&rsquo;s request to address the objections to jurisdiction as a preliminary question.</span>",<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=106' target=_blank>Cavinder BULL</a>  (Singaporean)  - Appointed by the Chairman of the Administrative Council,PR7757,,Y,,,State of Kuwait (Kuwaiti),"Curtis, Mallet-Prevost, Colt and Mosle, New York, NY, U.S.A. and London, U.K.",,Pending,Original Proceeding,Y,TR8451,"Rizzani de Eccher S.p.A., Obrascón Huarte Lain S.A. and Trevi S.p.A. v. State of Kuwait (ICSID Case No. ARB/17/8)",,,Construction,"BIT Kuwait - Italy 1987, BIT Kuwait - Spain 2005",,Y,,,ICSID Convention - Arbitration Rules,,CD27,Highway construction project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6226,,,<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=2057' target=_blank>Georg VON SEGESSER</a>  (Swiss)  - Appointed by the Claimant(s)<br><a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=91' target=_blank>Brigitte STERN</a>  (French)  - Appointed by the Respondent(s),"Kerres Rechtsanwalts GmbH, Vienna, Austria",Claimant(s)/Nationality(ies):,Anglo-Adriatic Group Limited (British),Composition of Tribunal,"July 21, 2017",,Date of Constitution of Tribunal:,,,"February 17, 2017",,Y,,"September 3, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">Each party files a statement of costs.</span>",<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=351' target=_blank>Juan FERNÁNDEZ-ARMESTO</a>  (Spanish)  - Appointed by Co-Arbitrators,PR7716,,Y,,,Republic of Albania (Albanian),"State Advocate General of the Republic of Albania, Tirana, Albania<br>Freshfields Bruckhaus Deringer, Vienna<br>Frankfurt am Main, Germany<br>Kalo & Associates, Tirana, Albania",,Pending,Original Proceeding,Y,TR8371,Anglo-Adriatic Group Limited v. Republic of Albania (ICSID Case No. ARB/17/6),,,Other Industry,,"Albanian Law 7764 ""On Foreign Investment"" as amended by Law 10316",Y,,,ICSID Convention - Arbitration Rules,,CD27,Privatization vouchers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6207,,,<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=424' target=_blank>Mark A. KANTOR</a>  (U.S.)  - Appointed by the Claimant(s)<br><a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=548' target=_blank>Rolf KNIEPER</a>  (German)  - Appointed by the Respondent(s),"Asters, Kiev, Ukraine<br>Jones Day, London, U.K. and Washington, D.C., U.S.A.<br>Markus Gronbach, Vienna, Austria",Claimant(s)/Nationality(ies):,Mr. Eugene Kazmin (Ukrainian),Composition of Tribunal,"July 28, 2017",,Date of Constitution of Tribunal:,,,"February 3, 2017",,Y,,"November 9, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Respondent files a counter-memorial on the merits and a memorial on jurisdiction.</span>",<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=628' target=_blank>Vera VAN HOUTTE</a>  (Belgian)  - Appointed by the Chairman of the Administrative Council,PR7697,,Y,,,Republic of Latvia (Latvian),"Lalive, Geneva, Switzerland<br>Legal Department, State Chancellery, Riga, Republic of Latvia",,Pending,Original Proceeding,Y,TR8391,Eugene Kazmin v. Republic of Latvia (ICSID Case No. ARB/17/5),,,Other Industry,BIT Latvia - Ukraine 1997,,Y,,,ICSID Convention - Arbitration Rules,,CD27,Acquisition of metallurgical plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6287,,,<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=2256' target=_blank>Wolfgang PETER</a>  (Swiss)  - Appointed by the Claimant(s)<br><a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=91' target=_blank>Brigitte STERN</a>  (French)  - Appointed by the Respondent(s),"Herbert Smith Freehills, New York, NY, U.S.A.                      ",Claimant(s)/Nationality(ies):,"Itisaluna Iraq LLC (Jordanian), VTEL Middle East and Africa Limited (United Arab Emirates), VTEL Holdings Ltd. (United Arab Emirates), Munir Sukhtian International Investment LLC (Jordanian)",Composition of Tribunal,"August 16, 2017",,Date of Constitution of Tribunal:,,,"April 13, 2017",,Y,English,"October 26, 2018 - <span style=""font-family: Times New Roman; font-size: medium;""> <span style=""font-family: Calibri; font-size: medium;"">Each party files a post-hearing brief.</span></span>",<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=131' target=_blank>Daniel BETHLEHEM</a>  (British)  - Appointed by the Parties,PR7817,,Y,,,Republic of Iraq (Iraqi),"Debevoise & Plimpton, New York, NY, U.S.A.<br>Minister of Justice, Baghdad, Republic of Iraq",,Pending,Original Proceeding,Y,TR8471,Itisaluna Iraq LLC and others  v. Republic of Iraq (ICSID Case No. ARB/17/10),,,Information & Communication,,"Agreement on Promotion and Protection and Guarantee of Investments among Member States of the Organisation of the Islamic Conference, Agreement between Japan and the Republic of Iraq for the Promotion and Protection of Investment",Y,,,ICSID Convention - Arbitration Rules,,CD27,Telecommunications enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6186,,,<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=240' target=_blank>Guido Santiago TAWIL</a>  (Argentine)  - Appointed by the Claimant(s)<br>Jose Emilio NUNES PINTO  (Brazilian)  - Appointed by the Respondent(s),"Cuatrecasas, Madrid, Spain",Claimant(s)/Nationality(ies):,Metro de Lima Línea 2 S.A. (Peruvian),Composition of Tribunal,"July 10, 2017",,Date of Constitution of Tribunal:,,,"February 1, 2017",,Y,Spanish,"December 6, 2018 - <span style=""font-family: Times New Roman; font-size: medium;""> <span style=""font-family: Times New Roman; font-size: medium;""><span style=""mso-fareast-font-family: 'Times New Roman';"">The Tribunal issues Procedural Order No. 2 concerning production of documents.</span></span></span>","<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=141' target=_blank>David J. A.  CAIRNS</a>  (British, New Zealand)  - Appointed by the Parties",PR7676,,Y,,,Republic of Peru  (Peruvian),"Foley Hoag, Washington, D.C., U.S.A.<br>Ministerio de Economía y Finanzas, Lima, Peru",,Pending,Original Proceeding,Y,TR8311,Metro de Lima Línea 2 S.A. v. Republic of Peru  (ICSID Case No. ARB/17/3),,,Transportation,,Contract,Y,,,ICSID Convention - Arbitration Rules,,CD27,Metro concession agreement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6267,,,<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=2236' target=_blank>Francisco GONZÁLEZ DE COSSÍO</a>  (Mexican)  - Appointed by the Claimant(s)<br><a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=263' target=_blank>Hugo PEREZCANO DIAZ</a>  (Mexican)  - Appointed by the Respondent(s),"Hogan Lovells, Madrid, Spain                          <br>Lidercón, S.L.",Claimant(s)/Nationality(ies):,"Lidercón, S.L. (Spanish)",Composition of Tribunal,"August 2, 2017",,Date of Constitution of Tribunal:,,,"April 5, 2017",,Y,"English,Spanish","October 17, 2018 - <span style=""font-family: Times New Roman; font-size: medium;""><span style=""font-family: Times New Roman; font-size: medium;""><span style=""mso-fareast-font-family: 'Times New Roman';"">The Tribunal issues Procedural Order No. 2 concerning production of documents.</span></span> </span>","<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=298' target=_blank>Jan PAULSSON</a>  (French, Swedish)  - Appointed by the Parties",PR7777,,Y,,,Republic of Peru (Peruvian),"Sidley Austin, Washington D.C., U.S.A.<br>Ministerio de Economía y Finanzas, Lima, Peru<br>The Republic of Peru<br>Stanimir A. Alexandrov, Washington, D.C., U.S.A.",,Pending,Original Proceeding,Y,TR8412," Lidercón, S.L. v. Republic of Peru (ICSID Case No. ARB/17/9)",,,Transportation,BIT Spain - Peru 1994,,Y,,,ICSID Convention - Arbitration Rules,,CD27,Transportation services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6227,,,<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=318' target=_blank>John  BEECHEY</a>  (British)  - Appointed by the Claimant(s)<br><a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=2696' target=_blank>Sean MURPHY</a>  (U.S.)  - Appointed by the Respondent(s),"Gibson, Dunn & Crutcher, London, U.K. and New York, NY, U.S.A.<br>Kirkland & Ellis International, London, U.K.<br>Meysan Partners, Safat, Kuwait",Claimant(s)/Nationality(ies):,Agility Public Warehousing Company K.S.C. (Kuwaiti),Composition of Tribunal,"December 20, 2017",,Date of Constitution of Tribunal:,,,"February 24, 2017",,Y,,"October 31, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA; mso-fareast-theme-font: minor-latin;"">The Tribunal issues Procedural Order No. 2 concerning the Respondent&rsquo;s request to address the objections to jurisdiction as a preliminary question; as a result, the proceeding on the merits is suspended.</span>",<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=106' target=_blank>Cavinder BULL</a>  (Singaporean)  - Appointed by the Chairman of the Administrative Council,PR7737,,Y,,,Republic of Iraq (Iraqi),"Debevoise & Plimpton, New York, NY, U.S.A.<br>Minister of Justice, Baghdad, Iraq",,Pending,Original Proceeding,Y,TR8793,Agility Public Warehousing Company K.S.C. v. Republic of Iraq (ICSID Case No. ARB/17/7),,,Information & Communication,BIT Iraq - Kuwait 2013,,Y,,,ICSID Convention - Arbitration Rules,,CD27,Telecommunications enterprise,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6166,,,<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=377' target=_blank>L. Yves FORTIER</a>  (Canadian)  - Appointed by the Claimant(s)<br><a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=82' target=_blank>Bernardo M. CREMADES</a>  (Spanish)  - Appointed by the Respondent(s),"Moravcevic Vojnovic I Partneri OAD, Belgrade, Serbia<br>Schönherr Rechtsanwälte GmbH, Vienna, Austria",Claimant(s)/Nationality(ies):,Mera Investment Fund Limited (Cypriot),Composition of Tribunal,"May 22, 2017",,Date of Constitution of Tribunal:,,,"January 26, 2017",,Y,,"November 30, 2018 - <span style=""color: black; font-family: 'Times New Roman',serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Tribunal issues a decision on jurisdiction.</span>",<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=2057' target=_blank>Georg VON SEGESSER</a>  (Swiss)  - Appointed by Co-Arbitrators,PR7656,,Y,,,Republic of Serbia  (Serbian),"Olivera Stanimirovic, Belgrade, Serbia<br>Vladimir Djeric, Belgrade, Serbia<br>Vladimir Pavic, Belgrade, Serbia<br>Senka Mihaj, Belgrade, Serbia",,Pending,Original Proceeding,Y,TR8191,Mera Investment Fund Limited v. Republic of Serbia  (ICSID Case No. ARB/17/2),,,Finance,BIT Serbia - Cyprus 2005,,Y,,,ICSID Convention - Arbitration Rules,,CD27,Financial Services,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,C6146,,,<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=377' target=_blank>L. Yves FORTIER</a>  (Canadian)  - Appointed by the Claimant(s)<br><a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=81' target=_blank>Bernard HANOTIAU</a>  (Belgian)  - Appointed by the Respondent(s),"Herbert Smith Freehills, Madrid, Spain",Claimant(s)/Nationality(ies):,Ortiz Construcciones y Proyectos S.A. (Spanish),Composition of Tribunal,"June 19, 2017",,Date of Constitution of Tribunal:,,,"January 24, 2017",,Y,French,"October 15, 2018 - <span style=""font-family: 'Calibri',sans-serif; font-size: 11pt; mso-fareast-font-family: Calibri; mso-fareast-theme-font: minor-latin; mso-ansi-language: EN-US; mso-fareast-language: EN-US; mso-bidi-language: AR-SA;"">The Claimant files a reply on the merits.</span>","<a href='https://icsid.worldbank.org/en/Pages/arbitrators/ViewProfile.aspx?cvid=384' target=_blank>Laurent LÉVY</a>  (Brazilian, Swiss)  - Appointed by Co-Arbitrators",PR7636,,Y,,,People''s Democratic Republic of Algeria (Algerian),"Minister of Habitat, Urbanism and Town Planning, Algiers, Algeria<br>Chemloul & Associés, Algiers, Algeria<br>Prime Minister, Algiers, Algeria<br>Minister of Justice and Keeper of the Seals, Algiers, Algeria<br>Shearman & Sterling, Paris, France",,Pending,Original Proceeding,Y,TR8251,Ortiz Construcciones y Proyectos S.A. v. People's Democratic Republic of Algeria (ICSID Case No. ARB/17/1),,,Construction,BIT Spain - Algeria 1994,,Y,,,ICSID Convention - Arbitration Rules,,CD27,Construction of housing and public infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
